"Order Number","Date","Type","Items","Total Amount","Cashier","Status","Remitted"
"#50560667","Nov 5, 2025, 10:21 PM","Dine In","10x T-Bone Steak","P3500.00","Nathaniel Vasquez","completed","No"
"#59367011","Nov 5, 2025, 09:50 PM","Dine In","5x T-Bone Steak","P1750.00","Nathaniel Vasquez","completed","No"
"#57862975","Nov 5, 2025, 09:49 PM","Dine In","10x T-Bone Steak","P3500.00","Nathaniel Vasquez","void","No"
"#42096894","Nov 5, 2025, 09:47 PM","Dine In","15x T-Bone Steak","P5250.00","Nathaniel Vasquez","void","No"
"#22463769","Nov 5, 2025, 09:27 PM","Dine In","30x Bihon Guisado","P4650.00","Nathaniel Vasquez","completed","No"
"#20886396","Nov 5, 2025, 09:26 PM","Dine In","35x Bihon Guisado","P5425.00","Nathaniel Vasquez","completed","No"
"#15112297","Nov 5, 2025, 09:25 PM","Dine In","5x Beef and Mushroom","P1950.00","Nathaniel Vasquez","completed","No"
"#13657388","Nov 5, 2025, 09:25 PM","Dine In","10x Bacsilog","P1950.00","Nathaniel Vasquez","completed","No"

"SUMMARY"
"Total Orders in Period","8"
"Already Remitted","0"
"To be Remitted","8"

"FINANCIAL SUMMARY (UNREMITTER ORDERS ONLY)"
"Gross Sales","P19225.00"
"Refunds","P0.00"
"Voided Amount","P0.00"
"Net Sales","P19225.00"
"Amount to Remit","P19225.00"
